省份,2011,2012,2013,2014,2015,2016,2017,2018,2019
港澳台联招,,,,,,,,,
新疆,624.0,608.0,645.0,635.0,645.0,644.0,650.0,649,650.0
宁夏,613.0,606.0,637.0,641.0,648.0,642.0,666.0,653,668.0
西藏,600.0,632.0,604.0,679.0,542.0,624.0,656.0,656,646.0
广西,633.0,642.0,640.0,661.0,658.0,660.0,681.0,661,677.0
内蒙古,607.0,617.0,618.0,660.0,635.0,631.0,627.0,648,671.0
青海,557.0,609.0,594.0,637.0,628.0,603.0,613.0,617,640.0
甘肃,594.0,627.0,618.0,631.0,637.0,618.0,627.0,628,651.0
陕西,654.0,676.0,645.0,674.0,649.0,665.0,670.0,679,681.0
云南,629.0,658.0,672.0,684.0,686.0,685.0,683.0,689,694.0
贵州,624.0,655.0,667.0,681.0,697.0,687.0,708.0,703,684.0
四川,624.0,610.0,650.0,639.0,640.0,642.0,652.0,649,666.0
海南,902.0,891.0,881.0,883.0,876.0,877.0,860.0,873,875.0
广东,657.0,667.0,672.0,671.0,668.0,631.0,647.0,666,658.0
湖南,663.0,661.0,659.0,673.0,644.0,644.0,669.0,684,662.0
湖北,629.0,638.0,622.0,633.0,619.0,642.0,662.0,673,658.0
河南,649.0,650.0,624.0,634.0,628.0,638.0,662.0,670,655.0
山东,661.0,668.0,672.0,680.0,671.0,642.0,662.0,670,662.0
江西,615.0,648.0,626.0,630.0,622.0,624.0,650.0,664,657.0
福建,652.0,653.0,637.0,665.0,650.0,630.0,637.0,667,661.0
安徽,635.0,651.0,636.0,621.0,675.0,644.0,648.0,668,661.0
浙江,667.0,683.0,707.0,720.0,722.0,702.0,698.0,700,708.0
江苏,390.0,397.0,392.0,399.0,403.0,410.0,419.0,414,411.0
黑龙江,639.0,637.0,625.0,664.0,648.0,632.0,636.0,638,646.0
吉林,652.0,645.0,640.0,662.0,657.0,666.0,670.0,684,659.0
辽宁,625.0,648.0,640.0,654.0,644.0,639.0,645.0,657,669.0
山西,624.0,618.0,599.0,612.0,609.0,614.0,645.0,650,644.0
河北,644.0,653.0,657.0,663.0,664.0,675.0,669.0,698,684.0
重庆,670.0,659.0,668.0,672.0,690.0,655.0,663.0,643,674.0
上海,554.0,522.0,516.0,529.0,517.0,541.0,605.0,611,618.0
天津,645.0,676.0,664.0,653.0,664.0,657.0,665.0,676,656.0
北京,641.0,619.0,664.0,670.0,677.0,679.0,668.0,687,673.0
